fid,osm_id,name,barrier,highway,ref,address,is_in,place,man_made,other_tags,name_2,trip_category,keep_for_od
6,"10018287160",,,,,,,,,"""opening_hours""=>""Mo-Su 09:00-18:00"",""phone""=>""+35625401800"",""tourism""=>""museum"",""wheelchair""=>""yes""",Il-Birgu,Recreation,Yes
7,"10018287161",,,,,,,,,"""defensive_works""=>""bastion""",Il-Birgu,Others,Yes
8,"11591853332",,,,,,,,survey_point,"""benchmark""=>""yes"",""direction""=>""300"",""inscription""=>""336"",""survey_point:structure""=>""cut"",""wikimedia_commons""=>""File:Benchmark at Fort St Angelo.jpg""",Il-Birgu,Others,Yes
9,"11591855212",,,,,,,,,"""information""=>""trail_marker"",""start_date""=>""2023"",""tourism""=>""information""",Il-Birgu,Recreation,Yes
10,"12496382928",,,,,,,,,"""access""=>""customers"",""defibrillator:location""=>""Inside reception"",""emergency""=>""defibrillator"",""manufacturer""=>""Philips"",""operator""=>""Heritage Malta""",Il-Birgu,Others,Yes
12,"12497635045",,,,,,,,survey_point,,Il-Birgu,Others,Yes
13,"12497635046",,,,,,,,,"""information""=>""board"",""tourism""=>""information""",Il-Birgu,Recreation,Yes
14,"4387619693",Terrone,,,,,,,,"""amenity""=>""restaurant"",""cuisine""=>""mediterranean"",""phone""=>""+356 27042656"",""website""=>""https://www.terrone.com.mt/""",Il-Birgu,Recreation,Yes
15,"7390695324",Sails and Dolphins,,,,,,,,"""artist_name""=>""Charles Sammut"",""artwork_type""=>""sculpture"",""start_date""=>""2007-03-04"",""tourism""=>""artwork""",Il-Birgu,Recreation,Yes
16,"8954643772",,,,,,,,,"""natural""=>""cave_entrance""",Il-Birgu,Recreation,Yes
17,"11591855288",The Wild West Bar and Grill,,,,,,,,"""addr:city""=>""Il-Birgu (Vittoriosa)"",""addr:country""=>""MT"",""addr:postcode""=>""BRG 1721"",""addr:street""=>""Triq l-Assedju l-Kbir"",""amenity""=>""restaurant"",""cuisine""=>""international"",""mobile""=>""+356 9991 1961"",""opening_hours""=>""Mo-Su 09:00-23:00"",""website""=>""https://thewildwest.com.mt/""",Il-Birgu,Recreation,Yes
18,"7139358556",Bacino,,,,,,,,"""amenity""=>""cafe"",""diet:vegan""=>""yes"",""diet:vegetarian""=>""yes"",""opening_hours""=>""Mo-Su 09:00-23:00"",""outdoor_seating""=>""yes"",""wheelchair""=>""yes""",Il-Birgu,Recreation,Yes
19,"11591852275",,,,,,,,,"""emergency""=>""fire_extinguisher"",""indoor""=>""no""",Il-Birgu,Others,Yes
20,"11591855215",,,,,,,,,"""amenity""=>""waste_basket""",Il-Birgu,Others,Yes
21,"8750238711",,,,,,,,,"""access""=>""yes"",""amenity""=>""toilets"",""changing_table""=>""yes"",""fee""=>""no"",""female""=>""yes"",""male""=>""yes"",""opening_hours""=>""Mo-Su 07:00-19:00"",""toilets:disposal""=>""flush"",""wheelchair""=>""yes""",Il-Birgu,Personal Errands,Yes
22,"11591819593",,,,,,,,,"""emergency""=>""fire_extinguisher"",""indoor""=>""no""",Il-Birgu,Others,Yes
24,"11591784261",,,,,,,,,"""information""=>""guidepost"",""tourism""=>""information""",Il-Birgu,Recreation,Yes
25,"11591823061",,,,,,,,,"""amenity""=>""waste_basket""",Il-Birgu,Others,Yes
26,"11591853846",BCRS public reverse vending machine,,,,,,,,"""amenity""=>""waste_disposal""",Il-Birgu,Others,Yes
27,"6236953585",Old City Pub,,,,,,,,"""addr:housenumber""=>""104"",""addr:street""=>""Triq San Lawrenz"",""amenity""=>""bar"",""cuisine""=>""coffee_shop;breakfast;fish_and_chips;burger;sandwich""",Il-Birgu,Recreation,Yes
28,"4778473923",Holy Trinity Church,,,,,,,,"""historic""=>""memorial"",""name:en""=>""Holy Trinity Church"",""name:pl""=>""Kościół Trójcy Świętej""",Il-Birgu,Recreation,Yes
30,"12655724820",,,,,,,,,"""amenity""=>""bench""",Il-Birgu,Others,Yes
31,"5235295853",,,,,,,,,"""amenity""=>""post_box"",""collection_times""=>""Mo-Sa 7:00"",""colour""=>""red"",""operator""=>""MaltaPost"",""operator:wikidata""=>""Q4171158"",""post_box:type""=>""lamp"",""website""=>""https://www.maltapost.com""",Il-Birgu,Personal Errands,Yes
32,"12655724824",,,,,,,,,"""amenity""=>""bench""",Il-Birgu,Others,Yes
33,"12655724819",,,,,,,,,"""amenity""=>""bench""",Il-Birgu,Others,Yes
34,"12655724822",,,,,,,,,"""amenity""=>""bench""",Il-Birgu,Others,Yes
35,"12655724823",,,,,,,,,"""amenity""=>""bench""",Il-Birgu,Others,Yes
36,"5235295863",,,,,,,,,"""historic""=>""memorial""",Il-Birgu,Recreation,Yes
37,"12655724821",,,,,,,,,"""amenity""=>""bench""",Il-Birgu,Others,Yes
38,"11591853330",Il-Birgu,,,,,,,,"""information""=>""map"",""tourism""=>""information""",Il-Birgu,Recreation,Yes
39,"11591853331",,,,,,,,,"""amenity""=>""waste_basket""",Il-Birgu,Others,Yes
40,"1276538743",,,,,,,,,"""amenity""=>""bench"",""backrest""=>""yes""",Il-Birgu,Others,Yes
41,"11591858995",,,,,,,,,"""amenity""=>""bench""",Il-Birgu,Others,Yes
42,"12655724818",,,,,,,,,"""amenity""=>""bench""",Il-Birgu,Others,Yes
43,"1276538917",,,,,,,,,"""amenity""=>""bench"",""backrest""=>""yes""",Il-Birgu,Others,Yes
44,"12655724817",,,,,,,,,"""amenity""=>""bench""",Il-Birgu,Others,Yes
45,"1276538985",,,,,,,,,"""amenity""=>""bench"",""backrest""=>""yes""",Il-Birgu,Others,Yes
46,"11591849838",,,,,,,,,"""addr:housename""=>""Block 9""",Il-Birgu,Others,Yes
48,"11591858774",,,,,,,,,"""amenity""=>""waste_basket""",Il-Birgu,Others,Yes
52,"1982621688",,,,,,,,,"""amenity""=>""toilets"",""toilets:disposal""=>""flush""",Il-Birgu,Personal Errands,Yes
55,"9089861617",,,,,,,,,"""amenity""=>""parking_entrance""",Il-Birgu,Others,Yes
56,"12655787463",,,,,,,,,"""amenity""=>""parking_entrance""",Il-Birgu,Others,Yes
57,"12496382925",,,,,,,,,"""amenity""=>""bench""",Il-Birgu,Others,Yes
58,"12496382924",,,,,,,,,"""amenity""=>""bench""",Il-Birgu,Others,Yes
60,"12655894879",,,,,,,,,"""noexit""=>""yes""",Il-Birgu,Others,Yes
61,"12655894888",Yacht Shop,,,,,,,,"""opening_hours""=>""Mo-Fr 08:30-17:00; Sa 09:00-12:00"",""phone""=>""+35621894800"",""shop""=>""marine_supplies""",Il-Birgu,Shopping,Yes
62,"12657423240",,,,,,,,,"""amenity""=>""bench""",Il-Birgu,Others,Yes
63,"12657423241",,,,,,,,,"""amenity""=>""bench""",Il-Birgu,Others,Yes
64,"12657423242",,,,,,,,,"""amenity""=>""bench""",Il-Birgu,Others,Yes
65,"12657423243",,,,,,,,,"""amenity""=>""bench""",Il-Birgu,Others,Yes
70,"12657423248",Il-Pjazzetta,,,,,,,,"""shop""=>""convenience""",Il-Birgu,Shopping,Yes
72,"12653995620",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Others,Yes
73,"12653995619",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Others,Yes
74,"12653995618",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Others,Yes
75,"12653995617",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Others,Yes
76,"12653995616",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Others,Yes
77,"12653995615",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Others,Yes
78,"12653995622",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Others,Yes
79,"12653995614",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Others,Yes
80,"3688282750",Locomobil,,,,,,,,"""historic""=>""technical_monument"",""image""=>""https://www.flickr.com/photos/33766294@N03/20242735290/""",Il-Birgu,Others,Yes
81,"5250351148",,,,,,,,,"""amenity""=>""recycling"",""recycling_type""=>""container""",Il-Birgu,Others,Yes
82,"11221766417",,,,,,,,tower,"""tower:type""=>""bell_tower"",""wikimedia_commons""=>""File:Public clock (37875334421).jpg""",Il-Birgu,Others,Yes
83,"12652089716",Tommy‘s Self Service,,,,,,,,"""opening_hours""=>""Mo-Sa 07:00-19:30; Su 08:00-13:00"",""phone""=>""+356 2169 7932"",""shop""=>""convenience""",Il-Birgu,Shopping,Yes
84,"2485598065",Boa Steak and Lobster House,,,,,,,,"""addr:city""=>""Il-Birgu (Vittoriosa)"",""addr:country""=>""MT"",""addr:housename""=>""Vault 5, Old Treasury Building"",""addr:postcode""=>""BRG 1721"",""addr:street""=>""Ix-Xatt tal-Birgu"",""amenity""=>""restaurant"",""cuisine""=>""steak_house;seafood"",""email""=>""info@boamalta.com"",""mobile""=>""+356 7954 2926"",""opening_hours""=>""Mo-Su 12:00-23:00"",""website""=>""https://www.facebook.com/BoaMalta""",Il-Birgu,Recreation,Yes
85,"12652089715",Carissima,,,,,,,,"""shop""=>""beauty""",Il-Birgu,Shopping,Yes
87,"9989026317",Fra Divino,,,,,,,,"""addr:street""=>""Triq l-Assedju l-Kbir 1565"",""amenity""=>""restaurant"",""cuisine""=>""maltese"",""mobile""=>""+356 9937 3311"",""opening_hours""=>""Mo-Su 10:30-22:00"",""website""=>""https://www.fradivino.com/""",Il-Birgu,Recreation,Yes
89,"2485604338",Sottovento Ristorante Pizzeria,,,,,,,,"""addr:city""=>""Il-Birgu (Vittoriosa)"",""addr:country""=>""MT"",""addr:housename""=>""Old Treasury Building"",""addr:postcode""=>""BRG 1721"",""addr:street""=>""Ix-Xatt tal-Birgu"",""amenity""=>""restaurant"",""contact:facebook""=>""https://www.facebook.com/FishSteaksKitchen/"",""cuisine""=>""italian"",""indoor_seating""=>""yes"",""opening_hours""=>""Tu-Fr 12:00-23:00; Sa-Mo 12:00-23:30"",""outdoor_seating""=>""yes"",""phone""=>""+356 2180 8990""",Il-Birgu,Recreation,Yes
90,"5435838854",Don Berto,,,,,,,,"""amenity""=>""restaurant"",""cuisine""=>""mediterranean"",""opening_hours""=>""Mo-Tu 06:30-22:30; We-Su 12:00-15:00; 18:30-22:00"",""phone""=>""+35621808008"",""website""=>""https://donberto.com/""",Il-Birgu,Recreation,Yes
92,"2485605683",Cargo Bar & Dine,,,,,,,,"""addr:city""=>""Il-Birgu (Vittoriosa)"",""addr:country""=>""MT"",""addr:postcode""=>""BRG 1721"",""addr:street""=>""Ix-Xatt tal-Birgu"",""amenity""=>""restaurant"",""mobile""=>""+356 9997 7666"",""website""=>""https://www.facebook.com/cargo.birgu""",Il-Birgu,Recreation,Yes
93,"246586117",,,,,,,,,"""kerb""=>""no""",Il-Birgu,Others,Yes
94,"12653995623",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Others,Yes
95,"12653995624",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Others,Yes
96,"12653995625",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Others,Yes
99,"6948511785",Birgi,,,,,,,,"""addr:housenumber""=>""97"",""addr:street""=>""Triq San Lawrenz"",""amenity""=>""restaurant"",""cuisine""=>""coffee_shop;breakfast;local;fish_and_chips;burger;hot_dog;sandwich;pasta"",""mobile""=>""+356 7947 6714""",Il-Birgu,Recreation,Yes
100,"11591804541",,,,,,,,,"""amenity""=>""waste_basket""",Il-Birgu,Others,Yes
101,"11591853845",M'S Handmade Filigree & Souvenirs,,,,,,,,"""addr:housenumber""=>""97"",""addr:street""=>""Triq San Lawrenz"",""shop""=>""gift""",Il-Birgu,Shopping,Yes
105,"12647024778",,,,,,,,,"""artwork_type""=>""sculpture"",""tourism""=>""artwork""",Il-Birgu,Recreation,Yes
106,"12647281048",M's Cafe,,,,,,,,"""amenity""=>""cafe"",""cuisine""=>""coffee_shop""",Il-Birgu,Recreation,Yes
107,"7139234092",,,,,,,,,"""amenity""=>""recycling"",""operator""=>""ReFab"",""recycling:beverage_cartons""=>""no"",""recycling:cans""=>""yes"",""recycling:glass_bottles""=>""yes"",""recycling:plastic""=>""no"",""recycling:plastic_bottles""=>""yes"",""recycling:plastic_packaging""=>""no"",""recycling_type""=>""container""",Il-Birgu,Others,Yes
108,"11591856174",,,,,,,,,"""information""=>""board"",""inscription:en""=>""Bettina Palace - This was the residence of Bettina Testaferrata Dorell, a member of one of the Island's noble families. In this palace, St Emilia de Vialar established the Congregation of the Sisters of St Joseph of the Apparition in 1842 [...]"",""tourism""=>""information""",Il-Birgu,Recreation,Yes
109,"2803604226",,,,"166",,,,,"""amenity""=>""post_box"",""check_date""=>""2025-02-21"",""collection_times""=>""Mo-Sa 7:00"",""operator""=>""MaltaPost"",""operator:wikidata""=>""Q4171158"",""post_box:type""=>""wall"",""website""=>""https://www.maltapost.com""",Il-Birgu,Personal Errands,Yes
110,"11591832353",,,,,,,,,"""historic""=>""memorial"",""inscription:en""=>""1758-1843 Fabricius Cardinal Sceberras Testaferrata was born in this house."",""memorial""=>""plaque""",Il-Birgu,Recreation,Yes
111,"11591834849",Sottozero,,,,,,,,"""addr:housenumber""=>""95"",""addr:street""=>""Triq San Lawrenz"",""amenity""=>""ice_cream"",""opening_hours""=>""Mo-Su 07:00-01:00"",""outdoor_seating""=>""yes"",""phone""=>""+35627690090"",""smoking""=>""outside"",""website""=>""https://sottozerofactory.com/""",Il-Birgu,Recreation,Yes
112,"9913815171",,,,,,,,,"""attraction""=>""train""",Il-Birgu,Others,Yes
113,"12647024748",,,,,,,,flagpole,,Il-Birgu,Others,Yes
114,"3363135396",31st March 1979 - Freedom Day,,,,,,,,"""historic""=>""monument""",Il-Birgu,Recreation,Yes
115,"11591850631",,,,,,,,guard_stone,,Il-Birgu,Others,Yes
116,"2803604219",Water Taxi,,,,,,,,"""amenity""=>""ferry_terminal"",""cargo""=>""passengers"",""ferry""=>""yes"",""public_transport""=>""station"",""wheelchair""=>""no""",Il-Birgu,Others,Yes
117,"2485599583",Birgu Candlelight Company,,,,,,,,"""mobile""=>""+356 7905 6171"",""shop""=>""candles"",""website""=>""https://www.birgucandles.mt/""",Il-Birgu,Shopping,Yes
118,"11591825367",,,,,,,,,"""boot_scraper""=>""both"",""entrance""=>""no""",Il-Birgu,Others,Yes
119,"1497538838",,,,,,,,,"""amenity""=>""ferry_terminal"",""ferry""=>""yes"",""public_transport""=>""station"",""wheelchair""=>""no""",Il-Birgu,Others,Yes
122,"690896516",,,,,,,,,"""foot""=>""yes"",""motor_vehicle""=>""private""",Il-Birgu,Others,Yes
