fid,osm_id,osm_way_id,name,type,aeroway,amenity,admin_level,barrier,boundary,building,craft,geological,historic,land_area,landuse,leisure,man_made,military,natural,office,place,shop,sport,tourism,other_tags,name_2,keep_for_od,trip_category,feature_source
1,"5638864",,,multipolygon,,,,,,school,,,,,,,,,,,,,,,,Il-Birgu,Yes,Education,polygon
2,"5640244",,,multipolygon,,,,,,,,,,,,track,,,,,,,running,,,Il-Birgu,Yes,Recreation,polygon
6,"17951635",,,multipolygon,,,,,,,,,,,,track,,,,,,,running,,,Il-Birgu,Yes,Recreation,polygon
30,,"54896162",Fortizza Sant’ Anġlu,,,,,city_wall,,,,,castle,,,,,,,,,,,,"""castle_type""=>""fortress"",""name:ar""=>""حصن سانت أنجلو"",""name:en""=>""Fort Saint Angelo"",""name:it""=>""Forte Sant' Angelo"",""name:mt""=>""Fortizza Sant’ Anġlu"",""name:pl""=>""Fort św. Anioła"",""name:ru""=>""Форт Сант-Анджело"",""operator""=>""Heritage Malta"",""wikidata""=>""Q2207146"",""wikipedia""=>""en:Fort St. Angelo""",Il-Birgu,Yes,Recreation,polygon
32,,"92243091",De La Salle College,,,school,,,,,,,,,,,,,,,,,,,"""start_date""=>""1903"",""wikidata""=>""Q5244513"",""wikipedia""=>""en:De La Salle College (Malta)""",Il-Birgu,Yes,Education,polygon
33,,"92243455",Fortini,,,,,,,,,,,,,pitch,,,,,,,soccer,,"""wikidata""=>""Q5472661"",""wikipedia""=>""en:Fortini Ground""",Il-Birgu,Yes,Recreation,polygon
34,,"112265680",,,,,,,,,,,,,,,,,,,,,,viewpoint,,Il-Birgu,Yes,Recreation,polygon
35,,"136730135",Collegiate Church of Saint Lawrence,,,place_of_worship,,,,church,,,,,,,,,,,,,,,"""denomination""=>""roman_catholic"",""height""=>""10"",""name:ar""=>""كنيسة سانت لورانس الجماعية"",""religion""=>""christian"",""source:height""=>""estimated"",""start_date""=>""1681"",""wikidata""=>""Q7589469"",""wikimedia_commons""=>""Category:St. Lawrence's Church, Birgu"",""wikipedia""=>""en:Collegiate Church of Saint Lawrence, Vittoriosa""",Il-Birgu,Yes,Recreation,polygon
36,,"136730138",Kunvent Dumnikan tal-Lunzjata,,,,,,,church,,,,,,,,,,,,,,,"""denomination""=>""roman_catholic"",""height""=>""10"",""source:height""=>""estimated""",Il-Birgu,Yes,Recreation,polygon
38,,"136730142",,,,,,,,school,,,,,,,,,,,,,,,,Il-Birgu,Yes,Education,polygon
40,,"136730149",,,,,,,,,,,,,,pitch,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
41,,"139164427",St Philip Church,,,,,,,church,,,,,,,,,,,,,,,"""denomination""=>""roman_catholic"",""height""=>""9"",""source:height""=>""estimated""",Il-Birgu,Yes,Recreation,polygon
42,,"139164448",,,,,,,,school,,,,,,,,,,,,,,,,Il-Birgu,Yes,Education,polygon
43,,"139164481",Church of St. Anne,,,place_of_worship,,,,chapel,,,,,,,,,,,,,,,"""denomination""=>""roman_catholic"",""religion""=>""christian""",Il-Birgu,Yes,Recreation,polygon
44,,"139164510",,,,parking,,,,,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others,polygon
45,,"148736552",,,,,,,,,,,,,,pitch,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
46,,"148736556",,,,,,,,school,,,,,,,,,,,,,,,,Il-Birgu,Yes,Education,polygon
48,,"148736563",,,,,,,,school,,,,,,,,,,,,,,,,Il-Birgu,Yes,Education,polygon
49,,"150382583",,,,,,,,,,,,,,pitch,,,,,,,soccer,,"""surface""=>""artificial_turf""",Il-Birgu,Yes,Recreation,polygon
51,,"150382591",,,,,,,,,,,,,,pitch,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
52,,"152120280",,,,parking,,,,,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others,polygon
55,,"240871554",Mużew Marittimu ta' Malta,,,,,,,yes,,,,,,,,,,,,,,museum,"""addr:city""=>""Il-Birgu (Vittoriosa)"",""addr:country""=>""MT"",""addr:housename""=>""Ex-Naval Bakery"",""addr:postcode""=>""BRG 1721"",""image""=>""https://photos.app.goo.gl/FwBEbJhnqBHo86QA9"",""museum""=>""history"",""name:en""=>""Malta Maritime Museum"",""name:mt""=>""Mużew Marittimu ta' Malta"",""name:pl""=>""Malta Muzeum Morskie"",""opening_hours""=>""Mo-Su 09:00-17:00"",""phone""=>""+356 2166 0052"",""website""=>""https://www.heritagemalta.org/museums/maritime/maritimeinfo.html"",""wikidata""=>""Q3013993"",""wikimedia_commons""=>""Category:Malta Maritime Museum"",""wikipedia""=>""en:Malta Maritime Museum""",Il-Birgu,Yes,Recreation,polygon
74,,"344654726",Skola Primarja Birgu,,,school,,,,,,,,,,,,,,,,,,,"""college""=>""Santa Margerita"",""education""=>""primary"",""grades""=>""1-6"",""operator""=>""Gvern ta' Malta"",""operator:type""=>""government"",""operator:wikidata""=>""Q5589242""",Il-Birgu,Yes,Education,polygon
77,,"345212966",,,,parking,,,,,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others,polygon
78,,"345212969",,,,parking,,,,,,,,,,,,,,,,,,,"""access""=>""yes"",""fee""=>""no"",""lit""=>""yes"",""parking""=>""surface"",""surface""=>""paving_stones""",Il-Birgu,Yes,Others,polygon
85,,"378312513",,,,,,,,,,,,,,pitch,,,,,,,soccer,,"""surface""=>""grass""",Il-Birgu,Yes,Recreation,polygon
94,,"397967721",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
100,,"406552271",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Others,polygon
103,,"409770025",,,,,,,,chapel,,,,,,,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
120,,"541398998",,,,,,,,,,,,,,pitch,,,,,,,boules,,,Il-Birgu,Yes,Recreation,polygon
122,,"542577308",,,,parking,,,,,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others,polygon
123,,"542577310",,,,parking,,,,,,,,,,,,,,,,,,,"""access""=>""yes"",""fee""=>""no"",""parking""=>""surface"",""surface""=>""paving_stones""",Il-Birgu,Yes,Others,polygon
126,,"550456709",,,,,,,,,,,,,,park,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
127,,"550456710",,,,,,,,,,,,,,park,,,,,,,,,"""wheelchair""=>""yes""",Il-Birgu,Yes,Recreation,polygon
128,,"550456711",,,,,,,,,,,,,,park,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
130,,"595862651",,,,,,,,,,,,,,pitch,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
133,,"669633425",,,,parking,,,,,,,,,,,,,,,,,,,"""access""=>""customers"",""fee""=>""no"",""parking""=>""surface""",Il-Birgu,Yes,Others,polygon
137,,"713318154",,,,,,,,,,,,,,pitch,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
138,,"729462616",,,,,,,,,,,,,,pitch,,,,,,,tennis,,"""surface""=>""tartan""",Il-Birgu,Yes,Recreation,polygon
139,,"730151321",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""surface""",Il-Birgu,Yes,Others,polygon
165,,"730157082",,,,,,,,church,,,,,,,,,,,,,,,"""height""=>""4"",""source:height""=>""estimated""",Il-Birgu,Yes,Recreation,polygon
224,,"805894397",,,,parking_space,,,,,,,,,,,,,,,,,,,"""capacity""=>""1"",""capacity:charging""=>""2""",Il-Birgu,Yes,Others,polygon
225,,"883725588",,,,parking,,,,,,,,,,,,,,,,,,,"""access""=>""yes"",""fee""=>""no"",""parking""=>""surface"",""surface""=>""asphalt""",Il-Birgu,Yes,Others,polygon
226,,"903946110",Knisja tal-Madonna tal-karmnu,,,,,,,church,,,,,,,,,,,,,,,"""building:levels""=>""3"",""denomination""=>""roman_catholic""",Il-Birgu,Yes,Recreation,polygon
232,,"908309142",Fortini Learning Support Centre,,,school,,,,,,,,,,,,,,,,,,,"""college""=>""Santa Margerita"",""education_level""=>""secondary"",""operator""=>""Gvern ta' Malta"",""operator:type""=>""government"",""operator:wikidata""=>""Q5589242""",Il-Birgu,Yes,Education,polygon
237,,"1112873641",,,,,,,,,,,,,,playground,,,,,,,,,"""access""=>""yes"",""min_age""=>""0""",Il-Birgu,Yes,Recreation,polygon
240,,"1167682184",Saint Edward's College,,,school,,,,,,,,,,,,,,,,,,,"""denomination""=>""roman_catholic"",""operator:type""=>""private"",""religion""=>""christian"",""wikidata""=>""Q17021058"",""wikimedia_commons""=>""Category:St. Edward's College (Malta)"",""wikipedia""=>""en:St Edward's College, Malta""",Il-Birgu,Yes,Education,polygon
264,,"1246898828",The Norman House,,,,,,,house,,,house,,,,,,,,,,,museum,"""addr:housenumber""=>""9"",""alt_name""=>""The Norman House (North Street)"",""building:levels""=>""2"",""heritage""=>""yes"",""museum""=>""local"",""name:fr""=>""Maison Normande"",""name:mt""=>""Id-Dar Normanna (Triq it-Tramuntata)"",""opening_hours""=>""Mo-Su 08:30-17:00"",""wheelchair""=>""no""",Il-Birgu,Yes,Recreation,polygon
