fid,osm_id,name,barrier,highway,ref,address,is_in,place,man_made,other_tags,name_2,trip_category,keep_for_od,feature_source
6,"10018287160",,,,,,,,,"""opening_hours""=>""Mo-Su 09:00-18:00"",""phone""=>""+35625401800"",""tourism""=>""museum"",""wheelchair""=>""yes""",Il-Birgu,Recreation,Yes,point
7,"10018287161",,,,,,,,,"""defensive_works""=>""bastion""",Il-Birgu,Others,Yes,point
8,"11591853332",,,,,,,,survey_point,"""benchmark""=>""yes"",""direction""=>""300"",""inscription""=>""336"",""survey_point:structure""=>""cut"",""wikimedia_commons""=>""File:Benchmark at Fort St Angelo.jpg""",Il-Birgu,Others,Yes,point
9,"11591855212",,,,,,,,,"""information""=>""trail_marker"",""start_date""=>""2023"",""tourism""=>""information""",Il-Birgu,Recreation,Yes,point
12,"12497635045",,,,,,,,survey_point,,Il-Birgu,Others,Yes,point
13,"12497635046",,,,,,,,,"""information""=>""board"",""tourism""=>""information""",Il-Birgu,Recreation,Yes,point
14,"4387619693",Terrone,,,,,,,,"""amenity""=>""restaurant"",""cuisine""=>""mediterranean"",""phone""=>""+356 27042656"",""website""=>""https://www.terrone.com.mt/""",Il-Birgu,Recreation,Yes,point
15,"7390695324",Sails and Dolphins,,,,,,,,"""artist_name""=>""Charles Sammut"",""artwork_type""=>""sculpture"",""start_date""=>""2007-03-04"",""tourism""=>""artwork""",Il-Birgu,Recreation,Yes,point
16,"8954643772",,,,,,,,,"""natural""=>""cave_entrance""",Il-Birgu,Recreation,Yes,point
17,"11591855288",The Wild West Bar and Grill,,,,,,,,"""addr:city""=>""Il-Birgu (Vittoriosa)"",""addr:country""=>""MT"",""addr:postcode""=>""BRG 1721"",""addr:street""=>""Triq l-Assedju l-Kbir"",""amenity""=>""restaurant"",""cuisine""=>""international"",""mobile""=>""+356 9991 1961"",""opening_hours""=>""Mo-Su 09:00-23:00"",""website""=>""https://thewildwest.com.mt/""",Il-Birgu,Recreation,Yes,point
18,"7139358556",Bacino,,,,,,,,"""amenity""=>""cafe"",""diet:vegan""=>""yes"",""diet:vegetarian""=>""yes"",""opening_hours""=>""Mo-Su 09:00-23:00"",""outdoor_seating""=>""yes"",""wheelchair""=>""yes""",Il-Birgu,Recreation,Yes,point
21,"8750238711",,,,,,,,,"""access""=>""yes"",""amenity""=>""toilets"",""changing_table""=>""yes"",""fee""=>""no"",""female""=>""yes"",""male""=>""yes"",""opening_hours""=>""Mo-Su 07:00-19:00"",""toilets:disposal""=>""flush"",""wheelchair""=>""yes""",Il-Birgu,Personal Errands,Yes,point
24,"11591784261",,,,,,,,,"""information""=>""guidepost"",""tourism""=>""information""",Il-Birgu,Recreation,Yes,point
26,"11591853846",BCRS public reverse vending machine,,,,,,,,"""amenity""=>""waste_disposal""",Il-Birgu,Others,Yes,point
27,"6236953585",Old City Pub,,,,,,,,"""addr:housenumber""=>""104"",""addr:street""=>""Triq San Lawrenz"",""amenity""=>""bar"",""cuisine""=>""coffee_shop;breakfast;fish_and_chips;burger;sandwich""",Il-Birgu,Recreation,Yes,point
28,"4778473923",Holy Trinity Church,,,,,,,,"""historic""=>""memorial"",""name:en""=>""Holy Trinity Church"",""name:pl""=>""Kościół Trójcy Świętej""",Il-Birgu,Recreation,Yes,point
29,"9067857834",,bollard,,,,,,,,Il-Birgu,Others,Yes,point
31,"5235295853",,,,,,,,,"""amenity""=>""post_box"",""collection_times""=>""Mo-Sa 7:00"",""colour""=>""red"",""operator""=>""MaltaPost"",""operator:wikidata""=>""Q4171158"",""post_box:type""=>""lamp"",""website""=>""https://www.maltapost.com""",Il-Birgu,Personal Errands,Yes,point
36,"5235295863",,,,,,,,,"""historic""=>""memorial""",Il-Birgu,Recreation,Yes,point
38,"11591853330",Il-Birgu,,,,,,,,"""information""=>""map"",""tourism""=>""information""",Il-Birgu,Recreation,Yes,point
46,"11591849838",,,,,,,,,"""addr:housename""=>""Block 9""",Il-Birgu,Others,Yes,point
49,"301486574",,bollard,,,,,,,,Il-Birgu,Others,Yes,point
52,"1982621688",,,,,,,,,"""amenity""=>""toilets"",""toilets:disposal""=>""flush""",Il-Birgu,Personal Errands,Yes,point
60,"12655894879",,,,,,,,,"""noexit""=>""yes""",Il-Birgu,Others,Yes,point
61,"12655894888",Yacht Shop,,,,,,,,"""opening_hours""=>""Mo-Fr 08:30-17:00; Sa 09:00-12:00"",""phone""=>""+35621894800"",""shop""=>""marine_supplies""",Il-Birgu,Shopping,Yes,point
70,"12657423248",Il-Pjazzetta,,,,,,,,"""shop""=>""convenience""",Il-Birgu,Shopping,Yes,point
72,"12653995620",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Recreation,Yes,point
73,"12653995619",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Recreation,Yes,point
74,"12653995618",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Recreation,Yes,point
75,"12653995617",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Recreation,Yes,point
76,"12653995616",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Recreation,Yes,point
77,"12653995615",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Recreation,Yes,point
78,"12653995622",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Recreation,Yes,point
79,"12653995614",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Recreation,Yes,point
