locality,trip_category,count
Birkirkara,Commuting to work,152
Birkirkara,Education,24
Birkirkara,Medical Purpose,18
Birkirkara,Others,224
Birkirkara,Personal Errands,25
Birkirkara,Recreation,183
Birkirkara,Shopping,230
Birżebbuġa,Commuting to work,18
Birżebbuġa,Education,3
Birżebbuġa,Medical Purpose,4
Birżebbuġa,Others,258
Birżebbuġa,Personal Errands,14
Birżebbuġa,Recreation,135
Birżebbuġa,Shopping,49
Bormla,Commuting to work,2
Bormla,Education,17
Bormla,Medical Purpose,3
Bormla,Others,126
Bormla,Personal Errands,9
Bormla,Recreation,171
Bormla,Shopping,24
Għajnsielem,Commuting to work,2
Għajnsielem,Education,8
Għajnsielem,Medical Purpose,2
Għajnsielem,Others,87
Għajnsielem,Personal Errands,25
Għajnsielem,Recreation,130
Għajnsielem,Shopping,15
Il-Belt Valletta,Commuting to work,42
Il-Belt Valletta,Education,9
Il-Belt Valletta,Medical Purpose,3
Il-Belt Valletta,Others,182
Il-Belt Valletta,Personal Errands,43
Il-Belt Valletta,Recreation,413
Il-Belt Valletta,Shopping,143
Il-Birgu,Commuting to work,2
Il-Birgu,Education,10
Il-Birgu,Others,90
Il-Birgu,Personal Errands,13
Il-Birgu,Recreation,140
Il-Birgu,Shopping,20
Il-Fgura,Commuting to work,7
Il-Fgura,Education,5
Il-Fgura,Medical Purpose,5
Il-Fgura,Others,258
Il-Fgura,Personal Errands,12
Il-Fgura,Recreation,24
Il-Fgura,Shopping,99
Il-Fontana,Commuting to work,2
Il-Fontana,Medical Purpose,1
Il-Fontana,Others,21
Il-Fontana,Personal Errands,3
Il-Fontana,Recreation,54
Il-Fontana,Shopping,9
Il-Furjana,Commuting to work,66
Il-Furjana,Education,7
Il-Furjana,Medical Purpose,5
Il-Furjana,Others,143
Il-Furjana,Personal Errands,19
Il-Furjana,Recreation,104
Il-Furjana,Shopping,20
Il-Gudja,Commuting to work,3
Il-Gudja,Education,4
Il-Gudja,Medical Purpose,2
Il-Gudja,Others,32
Il-Gudja,Personal Errands,5
Il-Gudja,Recreation,52
Il-Gudja,Shopping,2
Il-Gżira,Commuting to work,14
Il-Gżira,Education,13
Il-Gżira,Medical Purpose,6
Il-Gżira,Others,101
Il-Gżira,Personal Errands,18
Il-Gżira,Recreation,133
Il-Gżira,Shopping,89
Il-Kalkara,Commuting to work,11
Il-Kalkara,Education,4
Il-Kalkara,Medical Purpose,1
Il-Kalkara,Others,78
Il-Kalkara,Personal Errands,11
Il-Kalkara,Recreation,98
Il-Kalkara,Shopping,8
Il-Marsa,Commuting to work,24
Il-Marsa,Education,4
Il-Marsa,Medical Purpose,4
Il-Marsa,Others,124
Il-Marsa,Personal Errands,11
Il-Marsa,Recreation,73
Il-Marsa,Shopping,19
Il-Mellieħa,Commuting to work,15
Il-Mellieħa,Education,5
Il-Mellieħa,Medical Purpose,5
Il-Mellieħa,Others,351
Il-Mellieħa,Personal Errands,37
Il-Mellieħa,Recreation,874
Il-Mellieħa,Shopping,81
Il-Mosta,Commuting to work,46
Il-Mosta,Education,23
Il-Mosta,Medical Purpose,12
Il-Mosta,Others,236
