locality,Commuting to work,Education,Medical Purpose,Others,Personal Errands,Recreation,Shopping,Visiting Someone
,0,0,0,140,1,115,1,0
Birkirkara,152,24,18,224,25,183,230,0
Birżebbuġa,18,3,4,258,14,135,49,0
Bormla,2,17,3,126,9,171,24,0
Għajnsielem,2,8,2,87,25,130,15,0
Il-Belt Valletta,42,9,3,182,43,413,143,0
Il-Birgu,2,10,0,90,13,140,20,0
Il-Fgura,7,5,5,258,12,24,99,0
Il-Fontana,2,0,1,21,3,54,9,0
Il-Furjana,66,7,5,143,19,104,20,0
Il-Gudja,3,4,2,32,5,52,2,0
Il-Gżira,14,13,6,101,18,133,89,0
Il-Kalkara,11,4,1,78,11,98,8,0
Il-Marsa,24,4,4,124,11,73,19,0
Il-Mellieħa,15,5,5,351,37,874,81,0
Il-Mosta,46,23,12,236,37,361,145,0
Il-Munxar,0,0,0,16,5,68,7,0
Il-Qala,0,2,1,17,8,84,8,0
Il-Qrendi,2,7,0,81,10,102,9,0
Il-Ħamrun,9,35,5,47,13,67,43,0
In-Nadur,0,3,2,17,12,74,13,0
In-Naxxar,190,18,5,236,18,337,99,0
Ir-Rabat,33,37,21,547,65,824,199,0
Is-Siġġiewi,6,4,1,227,18,198,14,0
Is-Swieqi,10,3,1,49,11,201,13,0
Ix-Xagħra,4,3,1,46,20,206,33,0
Ix-Xewkija,6,4,2,47,12,53,13,0
Ix-Xgħajra,0,3,1,35,4,36,0,0
Iż-Żebbuġ,2,3,1,47,13,287,16,0
Iż-Żejtun,146,17,5,212,30,167,35,0
Iż-Żurrieq,4,2,2,120,14,110,19,0
L-Għarb,2,5,1,31,10,83,2,0
L-Għasri,0,1,0,18,3,84,1,0
L-Iklin,1,0,0,37,2,95,28,0
L-Imdina,2,0,0,74,6,111,11,0
L-Imqabba,2,2,0,43,3,29,2,0
L-Imsida,30,70,9,136,18,124,93,0
L-Imtarfa,0,4,0,29,4,23,1,0
L-Imġarr,2,2,2,120,10,107,11,1
L-Isla,2,3,1,43,10,66,20,0
Marsaxlokk,4,7,2,148,14,137,16,0
Pembroke,5,14,2,138,3,113,5,0
Raħal Ġdid,52,28,7,139,20,95,43,0
San Lawrenz,0,2,0,33,2,64,2,0
San Pawl il-Baħar,17,18,14,242,59,553,224,0
San Ġiljan,15,16,9,174,20,372,61,0
San Ġwann,31,4,5,120,16,109,67,0
Santa Luċija,3,2,0,42,7,23,3,0
Santa Venera,9,9,2,58,9,32,17,0
Ta' Kerċem,0,8,0,19,3,254,5,0
Ta' Sannat,2,2,1,16,4,70,5,0
Ta' Xbiex,21,0,3,12,5,37,12,0
Tal-Pietà,9,8,11,45,4,33,24,0
Tas-Sliema,14,10,8,126,34,333,154,0
Wied il-Għajn,2,4,2,148,12,165,19,0
Ħ'Attard,38,9,13,201,29,215,69,0
Ħad-Dingli,1,5,0,56,6,73,5,0
Ħal Balzan,14,5,2,39,10,66,32,0
Ħal Għargħur,0,2,1,52,6,71,2,0
Ħal Għaxaq,5,4,3,85,8,42,15,0
Ħal Kirkop,4,7,0,36,3,22,0,0
Ħal Lija,5,2,1,23,13,68,10,0
Ħal Luqa,17,5,3,375,41,79,22,0
Ħal Qormi,26,13,4,102,18,106,47,0
Ħal Safi,1,4,0,49,7,24,3,0
Ħal Tarxien,1,8,4,38,10,55,19,0
Ħaż-Żabbar,13,6,11,78,19,136,41,0
Ħaż-Żebbuġ,6,8,5,152,21,171,36,0
